nome,latitude,longitude,endereco,telefone,horario,obs
PIRAMIDE TECNOLOGIA CONTRA INCENDIO,-16.684978,-49.329594,"R. ALBERTO MARANHÃO, N° 403 - QD. 34, LT. 03 - GOIÁ, GOIÂNIA - GO, 74485-260",(62) 9864-3857,Segunda a Sexta: 08h às 18h | Sábado: 08h às 18h | Domingo: Fechado,
PRIME AUDAX COMÉRCIO,-16.749997,-49.355461,AV LIBERDADE NÚMERO 222 QUADRA 27 LOTE 04,(61) 433 976 827,Segunda a Sexta: 08h às 18h | Sábado: Fechado | Domingo: Fechado,Geocodificado pelo bairro (aprox.)
PROJET MIDIA DESIGN,-16.708875,-49.300483,"QD. R4 LT. 01, AV. BABAÇÚ - PARQUE SANTA RITA, GOIÂNIA - GO, 74000-000",(62) 9317-3899,Segunda a Sexta: 08h às 18h | Sábado e Domingo: Fechado,
RANIELE MENS WEAR,-16.656793,-49.260191,"AVENIDA CONTORNO, 1119, SALA 27 E 28 MERCADÃO DA MODA 44 - SETOR NORTE FERROVIÁRIO, GOIÂNIA - GO, 74055-140",(62) 98444-7515,Segunda a Sexta: 08h às 18h | Sábado: Fechado | Domingo: Fechado,
REIDUFORT,-16.787601,-49.366282,"AV. VIEIRA SANTOS, QD 28 - LT 03 SALA-3 - JARDIM ITAIPÚ, GOIÂNIA - GO, 74355-516",(62) 9462-6736,Segunda a Sexta: 08h às 19h | Sábado: 08h às 19h | Domingo: Fechado,
RGR ENGENHARIA,-16.601883,-49.332117,"AV. DO POVO - JARDIM CURITIBA, QUADRA CH LOTE 07 GOIÂNIA - GO, 74480-800",(62) 9273-5349,Segunda a Sexta: 08h às 18h | Sábado: Fechado | Domingo: Fechado,
SDTOKINHA DO ALUNO,-16.647,-49.308,RUA ROVIGO QD 4 LT 12 VILA ALVORADA,(62) 9837-2208,Segunda a Sexta: 08h às 1930:h | Sábado: 08h às 16h | Domingo: Fechado,"Coordenada aproximada - Vila Alvorada, Goiania"
THIAGO PEREIRA BUENO - LA LISSE MODA FEMININA,-16.647764,-49.25728,"RUA DOUTOR JOAQUIM BONIFÁCIO, QD 12 LT 23 - SETOR CRIMEIA LESTE - NUMERO 157 CASA 2 - CEP: 74660-170",(62) 99401-3627,Segunda a Sexta: 08h às 18h | Sábado: Fechado | Domingo: Fechado,
ULTRA ENVIOS LOGISTICA ONLINE LTDA,-16.657823,-49.257929,"RUA 302, 137 - SETOR NORTE FERROVIÁRIO - GOIÂNIA - GO - 74063-390",(62) 99122-1149,Segunda a Sexta: 08h às 17h | Sábado: 02h às 14h | Domingo: Fechado,
XAMEGO FASHION,-16.667236,-49.18798,"RUA POETA JOAQUIM BONIFÁCIO, QUADRA 23, LOTE 08, Nº 585 - VILA CONCÓRDIA - GOIÂNIA - GO - 74770-325",(62) 98548-3897,Segunda a Sexta: 08h30 às 23h | Sábado e Domingo: 09h às 13h,
WM INFORMATICA,-16.687164,-49.386259,"AV GERCINA BORGES TEIXEIRA CONJUNTO VERA CRUZ QUADRA C50 LOTE 11 SALA 05 74.493-060, GOIANIA - GO",62 9132-9635,Segunda a Sexta: 09h às 18h | Sábado: 09h às 17h | Domingo: Fechado,
DESPACHANTE,-16.658,-49.296,R NATIVIDADE NÚMERO 40 QUADRA 92 LOTE 29 SALA 02,(62) 99453-5361,Segunda a Sexta: 09:30h às 19h | Sábado e Domingo: Fechado,"Coordenada aproximada - Vila Aurora Oeste, Goiania"
RUAH TECNOLOGIA,-16.695,-49.265,SEM ENDEREÇO,(62) 99287-9397,Segunda a Sexta: 08h às 18h | Sábado e Domingo: Fechado,"Coordenada aproximada - Setor Sul, Goiania"
